;country;region;2020;2021;Logged GDP per capita;Social support;Healthy life expectancy;Freedom to make life choices;Generosity;Perceptions of corruption;latitude;longitude
1;Finland;Western Europe;7.808700085;7.842;10.775;0.954;72;0.949;-0.098;0.186;61.92411;25.748151
2;Denmark;Western Europe;7.645599842;7.62;10.933;0.954;72.7;0.946;0.03;0.179;56.26392;9.501785
3;Switzerland;Western Europe;7.559899807;7.571;11.117;0.942;74.4;0.919;0.025;0.292;46.818188;8.227512
4;Iceland;Western Europe;7.504499912;7.554;10.878;0.983;73;0.955;0.16;0.673;64.963051;-19.020835
5;Netherlands;Western Europe;7.487999916;7.464;10.932;0.942;72.4;0.913;0.175;0.338;52.132633;5.291266
6;Norway;Western Europe;7.448900223;7.392;11.053;0.954;73.3;0.96;0.093;0.27;60.472024;8.468946
7;Sweden;Western Europe;7.353499889;7.363;10.867;0.934;72.7;0.945;0.086;0.237;60.128161;18.643501
8;Luxembourg;Western Europe;7.299600124;7.324;11.647;0.908;72.6;0.907;-0.034;0.386;49.815273;6.129583
9;New Zealand;North America and ANZ;7.294199944;7.277;10.643;0.948;73.4;0.929;0.134;0.242;-40.900557;174.885971
10;Austria;Western Europe;7.237500191;7.268;10.906;0.934;73.3;0.908;0.042;0.481;47.516231;14.550072
11;Australia;North America and ANZ;7.23210001;7.183;10.796;0.94;73.9;0.914;0.159;0.442;-25.274398;133.775136
12;Israel;Middle East and North Africa;7.222799778;7.157;10.575;0.939;73.503;0.8;0.031;0.753;31.046051;34.851612
13;Germany;Western Europe;7.164500237;7.155;10.873;0.903;72.5;0.875;0.011;0.46;51.165691;10.451526
14;Canada;North America and ANZ;7.128600121;7.103;10.776;0.926;73.8;0.915;0.089;0.415;56.130366;-106.346771
15;Ireland;Western Europe;7.121399879;7.085;11.342;0.947;72.4;0.879;0.077;0.363;53.41291;-8.24389
16;Costa Rica;Latin America and Caribbean;7.093699932;7.069;9.88;0.891;71.4;0.934;-0.126;0.809;9.748917;-83.753428
17;United Kingdom;Western Europe;7.075799942;7.064;10.707;0.934;72.5;0.859;0.233;0.459;55.378051;-3.435973
18;Czech Republic;Central and Eastern Europe;6.939599991;6.965;10.556;0.947;70.807;0.858;-0.208;0.868;49.817492;15.472962
19;United States;North America and ANZ;6.910900116;6.951;11.023;0.92;68.2;0.837;0.098;0.698;37.09024;-95.712891
20;Belgium;Western Europe;6.863500118;6.834;10.823;0.906;72.199;0.783;-0.153;0.646;50.503887;4.469936
21;France;Western Europe;6.790800095;6.69;10.704;0.942;74;0.822;-0.147;0.571;46.227638;2.213749
22;Bahrain;Middle East and North Africa;6.772799969;6.647;10.669;0.862;69.495;0.925;0.089;0.722;25.930414;50.637772
23;Malta;Western Europe;6.663799763;6.602;10.674;0.931;72.2;0.927;0.133;0.653;35.937496;14.375416
24;Taiwan Province of China;East Asia;6.465000153;6.584;10.871;0.898;69.6;0.784;-0.07;0.721;NA;NA
25;United Arab Emirates;Middle East and North Africa;6.45539999;6.561;11.085;0.844;67.333;0.932;0.074;0.589;23.424076;53.847818
26;Saudi Arabia;Middle East and North Africa;6.440100193;6.494;10.743;0.891;66.603;0.877;-0.149;0.684;23.885942;45.079162
27;Spain;Western Europe;6.406499863;6.491;10.571;0.932;74.7;0.761;-0.081;0.745;40.463667;-3.74922
28;Italy;Western Europe;6.400899887;6.483;10.623;0.88;73.8;0.693;-0.084;0.866;41.87194;12.56738
29;Slovenia;Central and Eastern Europe;6.398900032;6.461;10.529;0.948;71.4;0.949;-0.101;0.806;46.151241;14.995463
30;Guatemala;Latin America and Caribbean;6.38740015;6.435;9.053;0.813;64.958;0.906;-0.038;0.775;15.783471;-90.230759
31;Uruguay;Latin America and Caribbean;6.377099991;6.431;9.966;0.925;69.1;0.896;-0.092;0.59;-32.522779;-55.765835
32;Singapore;Southeast Asia;6.375599861;6.377;11.488;0.915;76.953;0.927;-0.018;0.082;1.352083;103.819836
33;Kosovo;Central and Eastern Europe;6.363399982;6.372;9.318;0.821;63.813;0.869;0.257;0.917;42.602636;20.902977
34;Slovakia;Central and Eastern Europe;6.34829998;6.331;10.369;0.936;69.201;0.766;-0.124;0.911;48.669026;19.699024
35;Brazil;Latin America and Caribbean;6.325200081;6.33;9.577;0.882;66.601;0.804;-0.071;0.756;-14.235004;-51.92528
36;Mexico;Latin America and Caribbean;6.304800034;6.317;9.859;0.831;68.597;0.862;-0.147;0.799;23.634501;-102.552784
37;Jamaica;Latin America and Caribbean;6.280600071;6.309;9.186;0.877;67.5;0.89;-0.137;0.884;18.109581;-77.297508
38;Lithuania;Central and Eastern Europe;6.257599831;6.255;10.499;0.935;67.906;0.773;-0.203;0.826;55.169438;23.881275
39;Cyprus;Western Europe;6.228499889;6.223;10.576;0.802;73.898;0.763;-0.015;0.844;35.126413;33.429859
40;Estonia;Central and Eastern Europe;6.227300167;6.189;10.481;0.941;68.8;0.909;-0.106;0.527;58.595272;25.013607
41;Panama;Latin America and Caribbean;6.215499878;6.18;10.35;0.896;69.652;0.872;-0.166;0.856;8.537981;-80.782127
42;Uzbekistan;Commonwealth of Independent States;6.191899776;6.179;8.836;0.918;65.255;0.97;0.311;0.515;41.377491;64.585262
43;Chile;Latin America and Caribbean;6.186299801;6.172;10.071;0.882;70;0.742;-0.044;0.83;-35.675147;-71.542969
44;Poland;Central and Eastern Europe;6.163400173;6.166;10.382;0.898;69.702;0.841;-0.165;0.735;51.919438;19.145136
45;Kazakhstan;Commonwealth of Independent States;6.15899992;6.152;10.155;0.952;65.2;0.853;-0.069;0.733;48.019573;66.923684
