"","...1","country","region","Logged GDP per capita","Social support","Healthy life expectancy","Freedom to make life choices","Generosity","Perceptions of corruption","latitude","longitude","Year","Score"
"1",1,"Finland","Western Europe",10.775,0.954,72,0.949,-0.098,0.186,61.92411,25.748151,"2015",7.406
"2",1,"Finland","Western Europe",10.775,0.954,72,0.949,-0.098,0.186,61.92411,25.748151,"2016",7.413
"3",1,"Finland","Western Europe",10.775,0.954,72,0.949,-0.098,0.186,61.92411,25.748151,"2017",7.468999863
"4",1,"Finland","Western Europe",10.775,0.954,72,0.949,-0.098,0.186,61.92411,25.748151,"2018",7.632
"5",1,"Finland","Western Europe",10.775,0.954,72,0.949,-0.098,0.186,61.92411,25.748151,"2019",7.769
"6",1,"Finland","Western Europe",10.775,0.954,72,0.949,-0.098,0.186,61.92411,25.748151,"2020",7.808700085
"7",1,"Finland","Western Europe",10.775,0.954,72,0.949,-0.098,0.186,61.92411,25.748151,"2021",7.842
"8",2,"Denmark","Western Europe",10.933,0.954,72.7,0.946,0.03,0.179,56.26392,9.501785,"2015",7.527
"9",2,"Denmark","Western Europe",10.933,0.954,72.7,0.946,0.03,0.179,56.26392,9.501785,"2016",7.526
"10",2,"Denmark","Western Europe",10.933,0.954,72.7,0.946,0.03,0.179,56.26392,9.501785,"2017",7.521999836
"11",2,"Denmark","Western Europe",10.933,0.954,72.7,0.946,0.03,0.179,56.26392,9.501785,"2018",7.555
"12",2,"Denmark","Western Europe",10.933,0.954,72.7,0.946,0.03,0.179,56.26392,9.501785,"2019",7.6
"13",2,"Denmark","Western Europe",10.933,0.954,72.7,0.946,0.03,0.179,56.26392,9.501785,"2020",7.645599842
"14",2,"Denmark","Western Europe",10.933,0.954,72.7,0.946,0.03,0.179,56.26392,9.501785,"2021",7.62
"15",3,"Switzerland","Western Europe",11.117,0.942,74.4,0.919,0.025,0.292,46.818188,8.227512,"2015",7.587
"16",3,"Switzerland","Western Europe",11.117,0.942,74.4,0.919,0.025,0.292,46.818188,8.227512,"2016",7.509
"17",3,"Switzerland","Western Europe",11.117,0.942,74.4,0.919,0.025,0.292,46.818188,8.227512,"2017",7.493999958
"18",3,"Switzerland","Western Europe",11.117,0.942,74.4,0.919,0.025,0.292,46.818188,8.227512,"2018",7.487
"19",3,"Switzerland","Western Europe",11.117,0.942,74.4,0.919,0.025,0.292,46.818188,8.227512,"2019",7.48
"20",3,"Switzerland","Western Europe",11.117,0.942,74.4,0.919,0.025,0.292,46.818188,8.227512,"2020",7.559899807
"21",3,"Switzerland","Western Europe",11.117,0.942,74.4,0.919,0.025,0.292,46.818188,8.227512,"2021",7.571
"22",4,"Iceland","Western Europe",10.878,0.983,73,0.955,0.16,0.673,64.963051,-19.020835,"2015",7.561
"23",4,"Iceland","Western Europe",10.878,0.983,73,0.955,0.16,0.673,64.963051,-19.020835,"2016",7.501
"24",4,"Iceland","Western Europe",10.878,0.983,73,0.955,0.16,0.673,64.963051,-19.020835,"2017",7.504000187
"25",4,"Iceland","Western Europe",10.878,0.983,73,0.955,0.16,0.673,64.963051,-19.020835,"2018",7.495
"26",4,"Iceland","Western Europe",10.878,0.983,73,0.955,0.16,0.673,64.963051,-19.020835,"2019",7.494
"27",4,"Iceland","Western Europe",10.878,0.983,73,0.955,0.16,0.673,64.963051,-19.020835,"2020",7.504499912
"28",4,"Iceland","Western Europe",10.878,0.983,73,0.955,0.16,0.673,64.963051,-19.020835,"2021",7.554
"29",5,"Netherlands","Western Europe",10.932,0.942,72.4,0.913,0.175,0.338,52.132633,5.291266,"2015",7.378
"30",5,"Netherlands","Western Europe",10.932,0.942,72.4,0.913,0.175,0.338,52.132633,5.291266,"2016",7.339
"31",5,"Netherlands","Western Europe",10.932,0.942,72.4,0.913,0.175,0.338,52.132633,5.291266,"2017",7.376999855
"32",5,"Netherlands","Western Europe",10.932,0.942,72.4,0.913,0.175,0.338,52.132633,5.291266,"2018",7.441
"33",5,"Netherlands","Western Europe",10.932,0.942,72.4,0.913,0.175,0.338,52.132633,5.291266,"2019",7.488
"34",5,"Netherlands","Western Europe",10.932,0.942,72.4,0.913,0.175,0.338,52.132633,5.291266,"2020",7.487999916
"35",5,"Netherlands","Western Europe",10.932,0.942,72.4,0.913,0.175,0.338,52.132633,5.291266,"2021",7.464
"36",6,"Norway","Western Europe",11.053,0.954,73.3,0.96,0.093,0.27,60.472024,8.468946,"2015",7.522
"37",6,"Norway","Western Europe",11.053,0.954,73.3,0.96,0.093,0.27,60.472024,8.468946,"2016",7.498
"38",6,"Norway","Western Europe",11.053,0.954,73.3,0.96,0.093,0.27,60.472024,8.468946,"2017",7.537000179
"39",6,"Norway","Western Europe",11.053,0.954,73.3,0.96,0.093,0.27,60.472024,8.468946,"2018",7.594
"40",6,"Norway","Western Europe",11.053,0.954,73.3,0.96,0.093,0.27,60.472024,8.468946,"2019",7.554
"41",6,"Norway","Western Europe",11.053,0.954,73.3,0.96,0.093,0.27,60.472024,8.468946,"2020",7.448900223
"42",6,"Norway","Western Europe",11.053,0.954,73.3,0.96,0.093,0.27,60.472024,8.468946,"2021",7.392
"43",7,"Sweden","Western Europe",10.867,0.934,72.7,0.945,0.086,0.237,60.128161,18.643501,"2015",7.364
"44",7,"Sweden","Western Europe",10.867,0.934,72.7,0.945,0.086,0.237,60.128161,18.643501,"2016",7.291
"45",7,"Sweden","Western Europe",10.867,0.934,72.7,0.945,0.086,0.237,60.128161,18.643501,"2017",7.28399992
"46",7,"Sweden","Western Europe",10.867,0.934,72.7,0.945,0.086,0.237,60.128161,18.643501,"2018",7.314
"47",7,"Sweden","Western Europe",10.867,0.934,72.7,0.945,0.086,0.237,60.128161,18.643501,"2019",7.343
"48",7,"Sweden","Western Europe",10.867,0.934,72.7,0.945,0.086,0.237,60.128161,18.643501,"2020",7.353499889
