"","iso3c","date","country","Population, female (% of total population)","Population, male (% of total population)","region","income_level","longitude","latitude"
"1","ABW","2015","Aruba",52.4655210419881,47.5344789580119,"Latin America & Caribbean","High income",-70.0167,12.5167
"2","ABW","2016","Aruba",52.4903447289372,47.5096552710628,"Latin America & Caribbean","High income",-70.0167,12.5167
"3","ABW","2017","Aruba",52.5127893622878,47.4872106377122,"Latin America & Caribbean","High income",-70.0167,12.5167
"4","ABW","2018","Aruba",52.5310356555751,47.4689643444249,"Latin America & Caribbean","High income",-70.0167,12.5167
"5","ABW","2019","Aruba",52.5510300065845,47.4489699934155,"Latin America & Caribbean","High income",-70.0167,12.5167
"6","ABW","2020","Aruba",52.5672967049435,47.4327032950565,"Latin America & Caribbean","High income",-70.0167,12.5167
"7","ABW","2021","Aruba",52.5836093101357,47.4163906898643,"Latin America & Caribbean","High income",-70.0167,12.5167
"8","AFG","2015","Afghanistan",48.607049369402,51.392950630598,"South Asia","Low income",69.1761,34.5228
"9","AFG","2016","Afghanistan",48.5996676146541,51.4003323853459,"South Asia","Low income",69.1761,34.5228
"10","AFG","2017","Afghanistan",48.611615718279,51.388384281721,"South Asia","Low income",69.1761,34.5228
"11","AFG","2018","Afghanistan",48.6358467017121,51.3641532982879,"South Asia","Low income",69.1761,34.5228
"12","AFG","2019","Afghanistan",48.6623948520569,51.3376051479431,"South Asia","Low income",69.1761,34.5228
"13","AFG","2020","Afghanistan",48.6845201032328,51.3154798967672,"South Asia","Low income",69.1761,34.5228
"14","AFG","2021","Afghanistan",48.7014900404735,51.2985099595265,"South Asia","Low income",69.1761,34.5228
"15","AGO","2015","Angola",50.5413281557632,49.4586718442368,"Sub-Saharan Africa","Lower middle income",13.242,-8.81155
"16","AGO","2016","Angola",50.5370064892474,49.4629935107526,"Sub-Saharan Africa","Lower middle income",13.242,-8.81155
"17","AGO","2017","Angola",50.5334766486604,49.4665233513396,"Sub-Saharan Africa","Lower middle income",13.242,-8.81155
"18","AGO","2018","Angola",50.5304629337424,49.4695370662576,"Sub-Saharan Africa","Lower middle income",13.242,-8.81155
"19","AGO","2019","Angola",50.5274750128821,49.472524987118,"Sub-Saharan Africa","Lower middle income",13.242,-8.81155
"20","AGO","2020","Angola",50.5241361751203,49.4758638248797,"Sub-Saharan Africa","Lower middle income",13.242,-8.81155
"21","AGO","2021","Angola",50.5206209854884,49.4793790145116,"Sub-Saharan Africa","Lower middle income",13.242,-8.81155
"22","ALB","2015","Albania",49.0937975259849,50.9062024740151,"Europe & Central Asia","Upper middle income",19.8172,41.3317
"23","ALB","2016","Albania",49.0529987420434,50.9470012579566,"Europe & Central Asia","Upper middle income",19.8172,41.3317
"24","ALB","2017","Albania",49.0463977665664,50.9536022334336,"Europe & Central Asia","Upper middle income",19.8172,41.3317
"25","ALB","2018","Albania",49.0630945959306,50.9369054040694,"Europe & Central Asia","Upper middle income",19.8172,41.3317
"26","ALB","2019","Albania",49.0861056894117,50.9138943105883,"Europe & Central Asia","Upper middle income",19.8172,41.3317
"27","ALB","2020","Albania",49.1029953436653,50.8970046563347,"Europe & Central Asia","Upper middle income",19.8172,41.3317
"28","ALB","2021","Albania",49.1108741098821,50.8891258901179,"Europe & Central Asia","Upper middle income",19.8172,41.3317
"29","ARE","2015","United Arab Emirates",29.6024267140644,70.3975732859356,"Middle East & North Africa","High income",54.3705,24.4764
"30","ARE","2016","United Arab Emirates",30.158621297461,69.841378702539,"Middle East & North Africa","High income",54.3705,24.4764
"31","ARE","2017","United Arab Emirates",30.4802488741153,69.5197511258847,"Middle East & North Africa","High income",54.3705,24.4764
"32","ARE","2018","United Arab Emirates",30.6366879500976,69.3633120499024,"Middle East & North Africa","High income",54.3705,24.4764
"33","ARE","2019","United Arab Emirates",30.7426642127558,69.2573357872442,"Middle East & North Africa","High income",54.3705,24.4764
"34","ARE","2020","United Arab Emirates",30.8789432176656,69.1210567823344,"Middle East & North Africa","High income",54.3705,24.4764
"35","ARE","2021","United Arab Emirates",31.0550718075308,68.9449281924692,"Middle East & North Africa","High income",54.3705,24.4764
"36","ARG","2015","Argentina",51.27348276799,48.72651723201,"Latin America & Caribbean","Upper middle income",-58.4173,-34.6118
"37","ARG","2016","Argentina",51.2609743314513,48.7390256685487,"Latin America & Caribbean","Upper middle income",-58.4173,-34.6118
"38","ARG","2017","Argentina",51.2489899491189,48.7510100508811,"Latin America & Caribbean","Upper middle income",-58.4173,-34.6118
"39","ARG","2018","Argentina",51.2373484456557,48.7626515543443,"Latin America & Caribbean","Upper middle income",-58.4173,-34.6118
"40","ARG","2019","Argentina",51.2258022015077,48.7741977984923,"Latin America & Caribbean","Upper middle income",-58.4173,-34.6118
"41","ARG","2020","Argentina",51.2141455162946,48.7858544837054,"Latin America & Caribbean","Upper middle income",-58.4173,-34.6118
"42","ARG","2021","Argentina",51.2023146693351,48.7976853306649,"Latin America & Caribbean","Upper middle income",-58.4173,-34.6118
"43","ARM","2015","Armenia",52.9890526904431,47.0109473095569,"Europe & Central Asia","Upper middle income",44.509,40.1596
"44","ARM","2016","Armenia",52.9650933689628,47.0349066310372,"Europe & Central Asia","Upper middle income",44.509,40.1596
"45","ARM","2017","Armenia",52.955474908389,47.044525091611,"Europe & Central Asia","Upper middle income",44.509,40.1596
"46","ARM","2018","Armenia",52.9565771522637,47.0434228477363,"Europe & Central Asia","Upper middle income",44.509,40.1596
"47","ARM","2019","Armenia",52.9615637408173,47.0384362591827,"Europe & Central Asia","Upper middle income",44.509,40.1596
"48","ARM","2020","Armenia",52.9653412454096,47.0346587545904,"Europe & Central Asia","Upper middle income",44.509,40.1596
"49","ARM","2021","Armenia",52.9672237854971,47.0327762145029,"Europe & Central Asia","Upper middle income",44.509,40.1596
"50","ATG","2015","Antigua and Barbuda",51.8782528774941,48.1217471225059,"Latin America & Caribbean","High income",-61.8456,17.1175
"51","ATG","2016","Antigua and Barbuda",51.8429961912823,48.1570038087177,"Latin America & Caribbean","High income",-61.8456,17.1175
"52","ATG","2017","Antigua and Barbuda",51.8092742991878,48.1907257008122,"Latin America & Caribbean","High income",-61.8456,17.1175
"53","ATG","2018","Antigua and Barbuda",51.7884962921418,48.2115037078582,"Latin America & Caribbean","High income",-61.8456,17.1175
"54","ATG","2019","Antigua and Barbuda",51.7571950780003,48.2428049219997,"Latin America & Caribbean","High income",-61.8456,17.1175
"55","ATG","2020","Antigua and Barbuda",51.7308634915448,48.2691365084552,"Latin America & Caribbean","High income",-61.8456,17.1175
"56","ATG","2021","Antigua and Barbuda",51.7077222267239,48.2922777732761,"Latin America & Caribbean","High income",-61.8456,17.1175
"57","AUS","2015","Australia",50.1708743412044,49.8291256587956,"East Asia & Pacific","High income",149.129,-35.282
"58","AUS","2016","Australia",50.1894718273433,49.8105281726567,"East Asia & Pacific","High income",149.129,-35.282
"59","AUS","2017","Australia",50.197959138598,49.802040861402,"East Asia & Pacific","High income",149.129,-35.282
"60","AUS","2018","Australia",50.1996232411296,49.8003767588704,"East Asia & Pacific","High income",149.129,-35.282
"61","AUS","2019","Australia",50.1995341861351,49.8004658138649,"East Asia & Pacific","High income",149.129,-35.282
"62","AUS","2020","Australia",50.2012381940135,49.7987618059865,"East Asia & Pacific","High income",149.129,-35.282
"63","AUS","2021","Australia",50.2051576501004,49.7948423498996,"East Asia & Pacific","High income",149.129,-35.282
"64","AUT","2015","Austria",51.0448321153467,48.9551678846532,"Europe & Central Asia","High income",16.3798,48.2201
"65","AUT","2016","Austria",50.9780954273236,49.0219045726764,"Europe & Central Asia","High income",16.3798,48.2201
"66","AUT","2017","Austria",50.9043071000109,49.0956928999891,"Europe & Central Asia","High income",16.3798,48.2201
"67","AUT","2018","Austria",50.8294266482503,49.1705733517497,"Europe & Central Asia","High income",16.3798,48.2201
"68","AUT","2019","Austria",50.7612861843766,49.2387138156234,"Europe & Central Asia","High income",16.3798,48.2201
"69","AUT","2020","Austria",50.705154112631,49.294845887369,"Europe & Central Asia","High income",16.3798,48.2201
"70","AUT","2021","Austria",50.662717271299,49.337282728701,"Europe & Central Asia","High income",16.3798,48.2201
"71","AZE","2015","Azerbaijan",50.2375362695515,49.7624637304485,"Europe & Central Asia","Upper middle income",49.8932,40.3834
"72","AZE","2016","Azerbaijan",50.1960704561536,49.8039295438464,"Europe & Central Asia","Upper middle income",49.8932,40.3834
"73","AZE","2017","Azerbaijan",50.1550788212384,49.8449211787616,"Europe & Central Asia","Upper middle income",49.8932,40.3834
"74","AZE","2018","Azerbaijan",50.1157491047071,49.8842508952929,"Europe & Central Asia","Upper middle income",49.8932,40.3834
"75","AZE","2019","Azerbaijan",50.0798738499753,49.9201261500247,"Europe & Central Asia","Upper middle income",49.8932,40.3834
"76","AZE","2020","Azerbaijan",50.0485591776451,49.9514408223549,"Europe & Central Asia","Upper middle income",49.8932,40.3834
"77","AZE","2021","Azerbaijan",50.0219399836296,49.9780600163704,"Europe & Central Asia","Upper middle income",49.8932,40.3834
